6.5191	0.499877	4.71068
0.078161	-0.047929	0.019196
-0.0086218	0.0044607	-0.0031602
0.00090691	-0.00040047	0.00043718
-9.0839e-05	3.4467e-05	-5.3679e-05
8.6747e-06	-2.8196e-06	6.0359e-06
-7.8918e-07	2.1626e-07	-6.315e-07
6.8166e-08	-1.5164e-08	6.1928e-08
-5.5503e-09	9.1869e-10	-5.6991e-09
4.2023e-10	-4.0093e-11	4.8977e-10
-2.8787e-11	-1.4234e-13	-3.876e-11
1.6737e-12	3.1417e-13	2.7341e-12
-6.6172e-14	-4.9652e-14	-1.5742e-13
-1.0712e-15	5.6848e-15	4.9056e-15
6.0726e-16	-5.4539e-16	4.3627e-16
-8.4135e-17	4.4846e-17	-1.1486e-16
8.3325e-18	-3.0255e-18	1.6116e-17
-6.2575e-19	1.3358e-19	-1.8153e-18
2.7455e-20	3.3737e-21	1.7731e-19
1.5857e-21	-1.779e-21	-1.5175e-20
-6.1106e-22	2.8214e-22	1.0964e-21
1.0235e-22	-3.3552e-23	-5.6838e-23
-1.3474e-23	3.3323e-24	-5.2393e-26
1.5413e-24	-2.7685e-25	5.6075e-25
-1.5969e-25	1.723e-26	-1.055e-25
1.5032e-26	-3.0073e-28	1.4427e-26
-1.2691e-27	-1.3648e-28	-1.6956e-27
9.1555e-29	3.126e-29	1.8e-28
-4.7303e-30	-4.8351e-30	-1.7562e-29
-2.2433e-32	6.3574e-31	1.5774e-30
5.3425e-32	-7.5801e-32	-1.2856e-31
-1.0231e-32	8.4229e-33	9.1334e-33
1.4559e-33	-8.8407e-34	-4.9577e-34
-1.8064e-34	8.8243e-35	6.8687e-36
2.0565e-35	-8.3982e-36	3.3454e-36
-2.1888e-36	7.622e-37	-6.7916e-37
2.2208e-37	-6.564e-38	9.5666e-38
-2.1517e-38	5.3121e-39	-1.1475e-38
1.996e-39	-3.9599e-40	1.2465e-39
-1.773e-40	2.5983e-41	-1.2564e-40
